Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,,,,,,,,,,,,
Fungalinfection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,
Fungalinfection,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
Fungalinfection,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
Fungalinfection,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,,
Fungalinfection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungalinfection,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
Fungalinfection,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
Fungalinfection,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,,
Fungalinfection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungalinfection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,
Allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
Allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,acidity,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,,,,,,,,,,,,
GERD,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,
