Condition,Drug Name,Rating,Review,Side Effects,Useful Count
Diabetes,Metformin,7.5,Caused side effects,"Nausea, weight loss, dizziness",69
Hypertension,Lisinopril,9.3,Not effective,"Cough, dizziness, low blood pressure",212
Migraine,Sumatriptan,4.9,Very effective,"Nausea, dizziness, chest pain",13
Asthma,Albuterol,4.5,Caused side effects,"Tremors, nervousness, fast heartbeat",283
COVID-19,Remdesivir,5.1,Not effective,"Nausea, liver problems, rash",74
Flu,Tamiflu,6.6,Highly recommended,"Nausea, headache, dizziness",231
Depression,Sertraline,3.8,Very effective,"Drowsiness, weight gain, nausea",116
Arthritis,Ibuprofen,5.4,Somewhat helpful,"Stomach pain, nausea, ulcers",434
Pneumonia,Azithromycin,6.3,Somewhat helpful,"Diarrhea, stomach pain, nausea",24
Acid Reflux,Omeprazole,1,Very effective,"Stomach pain, bloating, dizziness",173
Tuberculosis,Rifampin,1.2,Not effective,"Liver damage, nausea, dizziness",429
Bronchitis,Dextromethorphan,7.8,Very effective,"Dizziness, dry mouth, fatigue",349
Liver Disease,Silymarin,4.8,Somewhat helpful,"Stomach pain, diarrhea, nausea",468
Kidney Stones,Tamsulosin,10,Not effective,"Dizziness, headache, nasal congestion",50
Stroke,Aspirin,4.3,Very effective,"Bleeding risk, stomach pain",381
Heart Disease,Atorvastatin,2.2,Somewhat helpful,"Muscle pain, liver issues, nausea",387
Alzheimer's,Donepezil,1.9,Highly recommended,"Nausea, insomnia, diarrhea",188
Anemia,Ferrous Sulfate,1.5,Caused side effects,"Constipation, nausea, black stools",103
Hypothyroidism,Levothyroxine,6.5,Caused side effects,"Weight loss, anxiety, nausea",174
Epilepsy,Carbamazepine,7,Very effective,"Dizziness, fatigue, liver problems",193
Diabetes,Metformin,4.9,Highly recommended,"Nausea, weight loss, dizziness",64
Hypertension,Lisinopril,9.8,Very effective,"Cough, dizziness, low blood pressure",373
Migraine,Sumatriptan,9.8,Not effective,"Nausea, dizziness, chest pain",101
Asthma,Albuterol,5,Caused side effects,"Tremors, nervousness, fast heartbeat",419
COVID-19,Remdesivir,8.4,Very effective,"Nausea, liver problems, rash",252
Flu,Tamiflu,9.8,Caused side effects,"Nausea, headache, dizziness",409
Depression,Sertraline,9.1,Highly recommended,"Drowsiness, weight gain, nausea",214
Arthritis,Ibuprofen,5.2,Caused side effects,"Stomach pain, nausea, ulcers",336
Pneumonia,Azithromycin,2.2,Highly recommended,"Diarrhea, stomach pain, nausea",417
Acid Reflux,Omeprazole,7.8,Not effective,"Stomach pain, bloating, dizziness",449
Tuberculosis,Rifampin,4.9,Very effective,"Liver damage, nausea, dizziness",76
Bronchitis,Dextromethorphan,7,Caused side effects,"Dizziness, dry mouth, fatigue",448
Liver Disease,Silymarin,8.2,Very effective,"Stomach pain, diarrhea, nausea",297
Kidney Stones,Tamsulosin,3.9,Not effective,"Dizziness, headache, nasal congestion",68
Stroke,Aspirin,3,Very effective,"Bleeding risk, stomach pain",479
Heart Disease,Atorvastatin,7.5,Somewhat helpful,"Muscle pain, liver issues, nausea",321
Alzheimer's,Donepezil,1.3,Not effective,"Nausea, insomnia, diarrhea",322
Anemia,Ferrous Sulfate,8.8,Somewhat helpful,"Constipation, nausea, black stools",106
Hypothyroidism,Levothyroxine,9.2,Very effective,"Weight loss, anxiety, nausea",167
Epilepsy,Carbamazepine,7.5,Not effective,"Dizziness, fatigue, liver problems",35
